1	10%	of all people	have	rarely	beating	children	10%	aller Menschen	haben	selten	schlagende	Kinder
2	30%	of all surveyed	own	frequently	overweight	Indians	30%	aller Befragten	besitzen	häufig	übergewichtige	Inder
3	20%	of all children	eat	occasionally	anorexic	cattle	20%	aller Kinder	essen	ab und zu	magersüchtige	Rinder
4	99%	of all 10-year-olds	vomit	every Monday	baseless	pilots	99%	aller 10 -jährigen	kotzen	jeden Montag	grundlos	Piloten
5	5 out of 10 surveyed	of all dogs	masturbate	every Friday	odorless	consoles	5 von 10 befragten	aller Hunde	wichsen	jeden Freitag	geruchlose	Konsolen
6	60%	of all federal agents	fart	every 3rd full moon	drunk	computers	60%	aller Bundesagenten	pupsen	jeden 3. Vollmond	betrunkene	Computer
7	70%	of all streamers	defecate	every 4th of the month	green	chocolate	70%	aller Streamer	kacken	an jedem 4. des Monats	grüne	Schokolade
8	75%	of all Twitch viewers	swing	every 3 days	orange	arms	75%	aller Twichzuschauer	schaukeln	alle 3 Tage	orangene	Arme
9	420%	of all orangutans	fall	always	snorting	legs	420%	aller Orang Utans	fallen	immer	koksende	Beine
10	69%	of all gods	extinguish	never	confused	brains	69%	aller Götter	löschen	nie	verwirrte	Gehirne
11	3 out of 99 surveyed	of all excavator drivers	buy	occasionally	observing	plants	3 von 99 Befragten	aller Baggerfahrer	kaufen	gelegentlich	observierende	Pflanzen
12	0%	of all Germans	ignore	every 7 hours	drunk	eggs	0%	aller Deutschen	ignorieren	alle 7 Stunden	besoffene	Eier
13	100%	of all coke users	snort	not often	corrupt	sacks	100%	aller Kokser	koksen	nicht oft	korrupte	Säcke
14	42%	of all kindergarten teachers	drink	sometimes	annoying	customers	42%	aller Kindergärtner	trinken	manchmal	nervige	Kunden
15	38%	of all party leaders	find	usually	small	curves	38%	aller Parteichefs	finden	normalerweise	kleine	Rundungen
16	93%	of all Chinese people	meet	regularly	repetitive	breasts	93%	aller Chinesen	treffen	regelmäßig	sich wiederholende	Brüste
17	47%	of all mosquitoes	drive	typically	creepy	cashiers	47%	aller Mücken	fahren	für gewöhnlich	unheimliche	Kassierer
18	94%	of all creatures	sleep	at 3 am	itchy	men	94%	aller Viecher	schlafen	um 3 Uhr Nachts	juckende	Männer
19	29%	of all current viewers	go	at 6 am	disturbing	birds	29%	aller Viewer gerade	gehen	um 6 Uhr Vormittags	störende	Vögel
20	48%	of all assholes	steer	none	curious	chocolate fondue fountains	48%	aller Arschlöcher	steuern	keine	kuriose	Schokoladenfondeubrunnen
21	None	of all COVID deniers	do	on the first Tuesday of the month	addicted	cookies	Niemand	aller Coronaleugner	machen	am ersten Dienstag des Monats	süchtige	Kekse
22	39%	of all toddlers	play	on the first Thursday of the week	farting	power lines	39%	aller Kleinkinder	spielen	am ersten Donnerstag der Woche	pupsende	Oberleitungen
23	3%	of all fruit sellers	smoke	on the penultimate Wednesday	special	dogs	3%	aller Obstverkäufer	rauchen	am vorletzten Mittwoch	besondere	Hunde
24	2%	of all package deliverers	toke	every 9th Saturday	soft	cats	2%	aller Paketboten	kiffen	jeden 9. Samstag	weiche	Katzen
25	77%	of all Jans	game	every 187 days	hard	suits	77%	aller Jans	zocken	alle 187 Tage	harte	Anzüge
26	2 out of 3 surveyed	of all merchants	kidnap	every 2 years	salty	seniors	2 von 3 Befragten	aller Händler	entführen	alle 2 Jahre	salzige	Senioren
27	9 out of 10 surveyed	of all cyclists	count	every 4th summer	active	chairs	9 von 10 Befragten	aller Radfahrer	zählen	jeden 4. Sommer	aktive	Stühle
28	85 out of 898 surveyed	of all drivers	smell	weird	impossible	xylophones	85 von 898 Befragten	aller  Autofahrer	riechen	komische	unmögliche	Xylophone
29	83 out of 10 surveyed	of all pilots	make	every time	uncreative	pianos	83 von 10 Befragen	aller Piloten	machen	jedes mal	unkreative	Klaviere
30	23%	of all dealers	feel	relatively rarely	random	condoms	23%	aller Dealer	fühlen	relativ selten	zufällige	Kondome
31	All	of all children	hit	never		stoners	Alle	aller Kinder	schlagen	niemals		Kiffer
32						alcoholics						
33						gamers						
34						streamers						
35						federal agents						
36						politicians						
37						teachers						
38						students						
39						children						
40						adults						
41						teenagers						
42						seniors						
43						people						
44						animals						
45						creatures						
46						aliens						
47						robots						
48						gods						
49						demons						
50						angels						
51						devils						
52						ghosts						
53						spirits						
54						insects						
55						plants						
56						fungi						
57						viruses						
58						bacteria						
59						fungi						
60						animals						
61						plants						
62						humans						
