1	%member%, someone must have crapped into your brain and forgotten to flush!	%member%, dir haben die wohl ins Hirn geschissen und vergessen die Kette zu ziehen!
2	%member%, you smell from your throat like a gypsy from the fly of his pants.	%member%, du stinkst aus dem Hals wie ein Zigeuner aus dem Hosenstall
3	%member%, did your parents ever ask you to run away from home?	%member%, haben dich deine Eltern eigentlich nie gebeten, von zu Hause wegzulaufen?
4	%member%, there's more work in my hair than in your whole life.	%member%, in meinen Haaren steckt mehr arbeit als in deinem ganzen Leben.
5	%member%, the best part of you probably ran down Mommy's leg back then.	%member%, das beste von dir ist wohl damals an Muttis Pflaume runtergelaufen.
6	%member%, be glad your mother didn't swallow you back then.	%member%, sei froh dass deine Mutter dich damals nicht geschluckt hat.
7	%member%, you're a good example of why siblings shouldn't hook up.	%member%, du bist ein gutes Beispiel dafür, dass Geschwister nicht ficken sollten.
8	%member%, it looks kind of cheap, but it suits you.	%member%, sieht ja irgendwie billig aus, aber passt ja dann zu dir.
9	%member%, do you know how you were born? Your dad jerked off onto his shoe and then kicked your mom in the ass!	%member%, weisst du wie du geboren wurdest? Dein Dad hat sich auf den Schuh gewixt und danach deiner Mum in den Arsch getreten!
10	It's getting dark. %member% should go back to the trash bags now!	Es wird langsam dunkel. %member% sollte jetzt wieder zu den Müllsäcken zurück!
11	A day without %member% is like a month of vacation.	Ein Tag ohne %member% ist wie ein Monat Urlaub
12	%member%, your dog wears socks, just like your cat!	%member%, dein Hund trägt Socken, so wie deine katze!
13	%member%, your dad wears leggings!	%member%, dein Vater trägt Leggins!
14	%member%, GO FUCK YOURSELF, YOU LOSER!!!	%member% FICK DICH DU KNECK!!!
15	%member%, GO FUCK YOURSELF, YOU IDIOT!!!	%member% FICK DICH DU SPAßT!!!
16	%member%, HOMO	%member% HOMO
17	and the biggest Fortnite kiddie is... %member%	und das größte Fortnitekiddie ist ..... %member%
18	%member%, your fat whore mother was apparently impregnated by a wart hog, you bastard.	%member%, deine fette nuttenmutter wurde scheinbar von nem warzenschwein geschwängert du bastard
19	Not even your grandparents love you, %member%.	fresse nichmal deine großeltern lieben dich %member%
20	OMG, I'm surrounded by idiots, %member%.	omg ich bin umgeben von idioten %member%
21	%member%, you need more brain cells.	%member%, du bräuchtest mal mehr gehirnzellen
22	%member%, you're a good person when you're not screwing around.	%member%, du bist ein guter Mensch, wenn du nicht fickst
23	%member%, you're more of a bot than I am.	%member%, du bist mehr bot als ich
24	%member%, your fat whore mother was apparently impregnated by a wart hog, you bastard!	%member%, deine fette Nuttenmutter wurde scheinbar von nem Warzenschwein geschwängert, du Bastard!
25	%member%, you're educationally resistant, allergic to intelligence.	%member%, du bildungsresistenter Intelligenzallergiker.
26	%member%, I would challenge you mentally, but as I can see, you're unarmed.	%member%, ansich würde ich mich ja geistig mit dir duellieren, aber wie ich sehe, bist du unbewaffnet.
27	%member%, the average IQ in any room drops as soon as you enter.	%member%, der Durchschnitts-IQ in jedem Raum sinkt, sobald du ihn betrittst.
28	The only intelligent thing about %member% is their wisdom teeth.	Das einzige intelligente an %member% sind seine Weisheitszähne.
29	%member%, if stupidity emitted light, I'd need sunglasses around you.	%member%, Wenn Blödheit leuchten würde, bräuchte ich bei dir eine Sonnenbrille.
30	%member%, now that I think of you, I suddenly remember that I still need to take out the trash.	%member%, jetzt, wo ich an dich denke, fällt mir doch glatt ein, dass ich noch den Müll rausbringen muss.
31	%member%, if my dog had your face, I'd shave its ass and teach it to walk backward!	%member%, hätte mein Hund dein Gesicht, würde ich ihm den Arsch rasieren und beibringen rückwärts zu laufen!
